SiteID,country,city,location,latitude,longitude,population,institution,website
FI001,FI,Espoo,Suomenoja,60.16,24.71,390000,National Institute for Health and Welfare (THL),thl.fi/en/web/thlfi-en
FI002,FI,Hämeenlinna,Paroinen,60.99601,24.46423,67000,National Institute for Health and Welfare (THL),thl.fi/en/web/thlfi-en
FI003,FI,Helsinki,Viikinmäki,60.23,24.99,860000,National Institute for Health and Welfare (THL),thl.fi/en/web/thlfi-en
FI004,FI,Joensuu,Kuhasalo,62.58,29.73,82667,National Institute for Health and Welfare (THL),thl.fi/en/web/thlfi-en
FI005,FI,Jyväskylä,Nenäinniemi,62.21,25.77,155000,National Institute for Health and Welfare (THL),thl.fi/en/web/thlfi-en
FI006,FI,Kajaani,Peuraniemi,64.227,27.7285,33714,National Institute for Health and Welfare (THL),thl.fi/en/web/thlfi-en
FI007,FI,Kemi,Peurasaari,65.73609,24.56363,25000,National Institute for Health and Welfare (THL),thl.fi/en/web/thlfi-en
FI008,FI,Kokkola,Hopeakivenlahti,63.83848,23.13048,36000,National Institute for Health and Welfare (THL),thl.fi/en/web/thlfi-en
FI009,FI,Kotka,Mussalo,60.45,26.89,72500,National Institute for Health and Welfare (THL),thl.fi/en/web/thlfi-en
FI010,FI,Kouvola,Mäkikylä,60.8679,26.70405,70000,National Institute for Health and Welfare (THL),thl.fi/en/web/thlfi-en
FI011,FI,Kuopio,Lehtoniemi,62.96,27.01,90697,National Institute for Health and Welfare (THL),thl.fi/en/web/thlfi-en
FI012,FI,Lahti,Kariniemi,60.99,25.65,63000,National Institute for Health and Welfare (THL),thl.fi/en/web/thlfi-en
FI013,FI,Lappeenranta,Toikansuo,60.93,27.3,60000,National Institute for Health and Welfare (THL),thl.fi/en/web/thlfi-en
FI014,FI,Mariehamn,Lotsbroverket,60.09693,19.93482,20000,RISE Research Institutes of Sweden,https://www.ri.se/en
FI015,FI,Mikkeli,Kenkäveronniemi,61.68852,27.27217,42000,National Institute for Health and Welfare (THL),thl.fi/en/web/thlfi-en
FI016,FI,Oulu,Taskila,65.05,25.41,200526,National Institute for Health and Welfare (THL),thl.fi/en/web/thlfi-en
FI017,FI,Pietarsaari,Alheda,63.67486,22.70256,41100,National Institute for Health and Welfare (THL),thl.fi/en/web/thlfi-en
FI018,FI,Pori,Luotsinmäki,61.48519,21.79746,114000,National Institute for Health and Welfare (THL),thl.fi/en/web/thlfi-en
FI019,FI,Rauma,Maanpäänniemi,61.12724,21.51127,40000,National Institute for Health and Welfare (THL),thl.fi/en/web/thlfi-en
FI020,FI,Rovaniemi,Alakorkalo,66.5,25.72,55000,National Institute for Health and Welfare (THL),thl.fi/en/web/thlfi-en
FI021,FI,Salo,Salo,60.38333,23.13333,34700,National Institute for Health and Welfare (THL),thl.fi/en/web/thlfi-en
